timestamps,x_values,y_values,eye_tracker,ivt,idt
5.99,800,577,fixation,saccade,saccade
6.00,800,571,fixation,fixation,saccade
6.01,750,608,fixation,saccade,saccade
6.02,800,574,fixation,saccade,saccade
6.03,797,581,fixation,fixation,saccade
6.03,728,608,fixation,saccade,saccade
6.04,789,575,fixation,saccade,fixation
6.05,792,574,fixation,fixation,fixation
6.06,796,587,fixation,fixation,fixation
6.07,796,584,fixation,fixation,fixation
6.08,799,582,fixation,fixation,fixation
6.08,799,584,fixation,fixation,fixation
6.09,797,584,fixation,fixation,fixation
6.10,795,587,fixation,fixation,fixation
6.11,795,586,fixation,fixation,fixation
6.12,794,585,fixation,fixation,fixation
6.13,794,586,fixation,fixation,fixation
6.13,799,584,fixation,fixation,fixation
6.14,798,591,fixation,fixation,fixation
6.15,796,585,fixation,fixation,fixation
6.16,748,615,fixation,saccade,fixation
6.17,796,587,fixation,saccade,fixation
6.18,797,590,fixation,fixation,fixation
6.18,796,594,fixation,fixation,fixation
6.19,799,589,fixation,fixation,fixation
6.20,806,598,fixation,fixation,fixation
6.21,831,601,saccade,fixation,fixation
6.22,876,603,saccade,saccade,saccade
6.23,900,595,saccade,fixation,fixation
6.23,901,595,saccade,fixation,fixation
6.24,898,607,fixation,fixation,fixation
6.25,902,604,fixation,fixation,fixation
6.26,898,612,fixation,fixation,fixation
6.27,898,613,fixation,fixation,fixation
6.28,897,608,fixation,fixation,fixation
6.28,898,605,fixation,fixation,fixation
6.29,903,595,fixation,fixation,fixation
6.30,900,608,fixation,fixation,fixation
6.31,898,608,fixation,fixation,fixation
6.32,901,601,fixation,fixation,fixation
6.33,899,608,fixation,fixation,fixation
6.33,901,609,fixation,fixation,fixation
6.34,903,609,fixation,fixation,fixation
6.35,901,609,fixation,fixation,fixation
6.36,904,599,fixation,fixation,fixation
6.37,900,597,fixation,fixation,fixation
6.38,895,610,fixation,fixation,fixation
6.38,899,601,fixation,fixation,fixation
6.39,906,608,fixation,fixation,fixation
6.40,911,512,saccade,saccade,saccade
6.41,868,414,saccade,saccade,fixation
